
Network Stats for the last 20247 seconds:

Total Sent Spatial Packets: 442707
Total Requested to Send Spatial Packets: 761466
Total Sent Actor Motion Hints Packets: 105133
Percentage of Usual Bandwidth Used: 68.00%


Total Sent: 977755, 0B (36.02MB)
77  CommandRequestPacket               196B, Num 6, Avg 32B
34  BlockPickRequestPacket             107B, Num 12, Avg 8B
84  ResourcePackChunkRequestPacket     96B, Num 2, Avg 48B
8   ResourcePackClientResponsePacket   63B, Num 5, Avg 12B
307 SetPlayerInventoryOptionsPacket    49B, Num 7, Avg 7B
321 ClientCameraAimAssistPacket        25B, Num 5, Avg 5B
312 ServerboundLoadingScreenPacket     16B, Num 4, Avg 4B
193 RequestNetworkSettingsPacket       12B, Num 2, Avg 6B
69  RequestChunkRadiusPacket           9B, Num 3, Avg 3B
129 ClientCacheStatusPacket            6B, Num 2, Avg 3B
113 SetLocalPlayerAsInitializedPacket  5B, Num 2, Avg 2B
4   ClientToServerHandshakePacket      2B, Num 2, Avg 1B
102 ServerSettingsRequestPacket        1B, Num 1, Avg 1B

